State_No,County_No,Votes_For,Votes_Against,Total_Votes,Ballot_Type,Population,Per_Capita_Income,Medium_Family_Income,Size_of_County,Population_Density,Percent_White,Percent_Black,Percent_Other,Percent_Male,Percent_Female,No_of_Churches,No_of_Church_Members,Poverty_Level_Rate,Unemployment_Rate,Age_Less_than_18,Age_18_24,Age_24_44,Age_44_64,Age_Older_than_64,MSA,Percent_Minority
9,113,202,79,281,2,2874,"$6,974 ","$19,406 ",4571.30,.63,.33,.01,.67,.516,.484,11,474,28.40,2.40,928,268,856,546,276,2,.67
9,114,4732,3643,8375,2,63926,"$15,550 ","$27,735 ",841.20,75.99,.84,.11,.05,.489,.511,124,28857,17.80,7.40,17107,6234,18363,13173,9049,1,.16
9,115,2419,1948,4367,2,25609,"$18,165 ","$31,405 ",887.40,28.86,.86,.03,.11,.494,.506,46,14727,13.00,5.60,7470,1943,7284,4975,3937,2,.14
9,116,248,135,383,2,1577,"$16,316 ","$29,073 ",1051.60,1.50,.75,.00,.24,.498,.502,6,725,11.90,3.70,454,126,439,351,207,2,.25
9,117,667,557,1224,2,6773,"$14,629 ","$24,120 ",917.40,7.38,.95,.01,.04,.488,.512,40,4568,17.50,4.80,1836,414,1812,1433,1278,2,.05
9,118,1205,857,2062,2,12822,"$16,656 ","$25,442 ",829.50,15.46,.69,.09,.22,.482,.518,27,4797,18.90,3.60,3625,909,3459,2579,2250,2,.31
9,119,1940,1892,3832,2,31107,"$14,007 ","$23,653 ",937.50,33.18,.79,.19,.02,.478,.522,66,16124,20.00,10.20,8883,2391,8221,6507,5105,2,.21
9,120,218,144,362,2,1914,"$13,686 ","$24,306 ",2264.60,.85,.58,.00,.41,.514,.486,8,500,15.90,4.00,513,131,479,439,352,2,.42
9,121,20437,11424,31861,2,241351,"$18,016 ","$28,542 ",903.60,267.10,.61,.31,.07,.480,.520,212,94803,19.60,6.70,65933,22110,72716,46505,34087,1,.39
9,122,308,52,360,2,5083,"$12,080 ","$18,582 ",1136.20,4.47,.09,.00,.91,.489,.511,14,487,30.80,9.10,1647,481,1332,927,696,2,.91
9,123,2106,817,2923,2,38018,"$12,334 ","$20,683 ",864.70,43.97,.27,.01,.73,.492,.508,42,6260,29.50,9.70,12326,3512,10717,6975,4488,2,.73
9,124,6859,4484,11343,2,98456,"$15,180 ","$32,616 ",729.40,134.98,.89,.03,.09,.496,.504,112,39867,14.10,6.00,28978,8922,31334,18856,10366,1,.11
9,125,1032,1194,2226,2,16126,"$13,013 ","$21,667 ",931.10,17.32,.78,.04,.17,.478,.522,51,9446,22.70,4.20,4481,1147,4192,3260,3046,2,.22
9,126,947,513,1460,2,12323,"$12,437 ","$19,362 ",750.40,16.42,.49,.03,.48,.477,.523,34,3190,28.60,5.00,3791,925,3099,2280,2228,2,.51
9,127,3431,1904,5335,2,53584,"$15,493 ","$29,933 ",786.10,68.16,.79,.14,.07,.489,.511,85,22600,16.20,6.00,15883,4493,16454,10407,6347,1,.21
9,128,2263,1123,3386,2,15242,"$21,443 ","$34,585 ",662.50,23.01,.82,.00,.17,.487,.513,19,4364,9.90,2.60,4010,1093,4399,3261,2479,2,.18
9,129,44,15,59,2,431,"$22,599 ","$19,560 ",1456.90,.30,.23,.00,.77,.489,.511,2,#NULL!,25.00,2.40,128,32,125,103,43,2,.77
9,130,215,113,328,2,989,"$11,947 ","$22,461 ",902.40,1.10,.87,.01,.12,.480,.520,6,689,12.70,3.50,264,44,234,224,223,2,.13
9,131,3460,2562,6022,2,36777,"$19,191 ","$25,461 ",1106.30,33.24,.80,.02,.17,.473,.527,43,11985,16.30,3.60,8573,2573,8951,7331,9349,2,.20
9,132,395,292,687,2,4132,"$13,748 ","$20,480 ",1250.80,3.30,.80,.00,.19,.490,.510,11,1909,17.90,2.40,1068,223,1007,964,870,2,.20
9,133,70,46,116,2,327,"$16,930 ","$32,711 ",912.30,.36,.84,.00,.16,.517,.483,2,188,7.50,3.00,100,27,108,71,21,2,.16
9,134,355,112,467,2,3132,"$9,670 ","$17,671 ",1363.50,2.30,.47,.03,.51,.507,.493,9,551,26.50,6.40,775,217,753,669,718,2,.53
9,135,1433,702,2135,2,29979,"$12,522 ","$24,793 ",871.10,34.42,.33,.03,.63,.498,.502,37,7051,26.00,6.80,8759,4729,8505,4950,3036,2,.67
9,136,347,412,759,2,4773,"$14,100 ","$20,541 ",854.20,5.59,.70,.07,.23,.481,.519,28,3432,22.80,3.20,1333,299,1185,932,1024,2,.30
9,137,2653,2703,5356,2,44034,"$15,521 ","$25,138 ",917.10,48.01,.83,.15,.02,.474,.526,105,22863,19.90,7.50,11586,4157,11975,8643,7673,2,.17
